,unique,outcome_type,description_fi,description_en
4043,113Loimaan kaupunkiTutoropettajatoiminnan kehittäminen alueellisesti,tapahtuma,Oripään kunnan opettajen vesopäivä,Oripää municipality teachers&#39; water day
4044,113Loimaan kaupunkiTutoropettajatoiminnan kehittäminen alueellisesti,tapahtuma,Valtakunnallisilla tuutoropettajapäivällä ITK:ssa pidimme pajan.,We held a workshop at the national tutoring day at ITK.
4045,113Tampereen kaupunki/Kasvatus- ja opetuspalvelutPirkanmaan tutoropettajat,tapahtuma,Pirkanmaan tutortori: Pirkanmaan alueverkoston verkostotapaaminen Tampere-talossa,Pirkanmaa tutor: Pirkanmaa regional network network meeting in Tampere Hall
4046,113Tampereen kaupunki/Kasvatus- ja opetuspalvelutPirkanmaan tutoropettajat,toimintamalli,Tutor Teams: Hankkeen tutoropettajien yhteinen Teams-alusta,Tutor Teams: A joint Teams platform for project tutors
4047,113Tampereen kaupunki/Kasvatus- ja opetuspalvelutPirkanmaan tutoropettajat,toimintamalli,Tutorforms: Tiedolajohtamisen väline opetuksenjärjestäjien käyttöön.,Tutorforms: A tool for information management for use by tutors.
4048,113Tampereen kaupunki/Kasvatus- ja opetuspalvelutPirkanmaan tutoropettajat,muu-tuotos,Hullunkuriset opettajat -peli: Vuorovaikutustaitoja opettava peli kouluyhteisöille,Whimsical Teachers Game: A game that teaches interaction skills to school communities
4049,113Tampereen kaupunki/Kasvatus- ja opetuspalvelutPirkanmaan tutoropettajat,toimintamalli,"Alueverkostomalli: Pirkanmaan jakautuminen viiteen maantieteelliseti pienempään alueverkostoon, jossa pienempiä tapaamisia ja yhteistyötä.",Regional network model: The division of Pirkanmaa into five geographically smaller regional networks with smaller meetings and cooperation.
4050,113Kyrkslätts kommunTutor 2.0,julkaisu,"Hemsidan tutorlarare.fi, som vi utvecklade tillsammans med de fyra andra regionala nätverken. Först hade vi en version, men sedan utarbetades en ny version i samarbete med Åbo Akademi/CLL, som gjorde att sidan blev mera interaktiv. Nu har de som läser bloggen möjlighet att skriva kommentarer till alla inlägg och det är även lättare att dela enskilda inlägg på kanaler för sociala medier.  ","The website tutorlarare.fi, which we developed together with the four other regional networks. First we had a version, but then a new version was developed in collaboration with Åbo Akademi / CLL, which made the site more interactive. Now those who read the blog have the opportunity to write comments to all posts and it is also easier to share individual posts on social media channels."
4051,113Kyrkslätts kommunTutor 2.0,tapahtuma,"Regionala nätverksträffar, t.ex. TutorDay. Vi ordnade ett antal träffa under verksamhetsåret, endera fristående eller i samband med andra evenemang. I bilagan finns en årsklocka där man ser hur verksamheten såg ut i stora drag.  ","Regional network meetings, e.g. TutorDay. We arranged a number of meetings during the financial year, either independently or in connection with other events. In the appendix, there is an annual clock where you can see what the business looked like in general."
4052,113Kyrkslätts kommunTutor 2.0,muu-tuotos,"Survival kit till tutorlärarna i regionen. Paketet innehöll ny pedagogisk litteratur till tutorlärarna i alla nätverkskommuner samt kringutrustning, t.ex. UBS-headsets, datorväska, skydd till iPad.","Survival kit for tutor teachers in the region. The package contained new pedagogical literature for the tutor teachers in all network municipalities as well as peripherals, e.g. UBS headsets, computer case, protection for iPad."
4053,113Kyrkslätts kommunTutor 2.0,muu-tuotos,"Grafik med olika tutorlärarmodeller. Under hösten 2018 besökte koordinatorn för nätverket alla nätverkskommuner för att skapa sig en uppfattning om hur tutorverksamheten ser ut i de olika kommunerna. Av det här skapades en bild, som sedan använts i olika sammanhang och i olika tutornätverk för att tydliggöra vilka olika tutorlärarmodeller det finns i kommunerna. Bilden fungerar även bra som underlag för samtal om för- och nackdelar med olika modeller. Bilden finns som bilaga. ","Graphics with different tutor teacher models. In the autumn of 2018, the coordinator of the network visited all network municipalities to get an idea of what the tutoring activities look like in the various municipalities. This created an image, which was then used in different contexts and in different tutor networks to clarify which different tutor teacher models there are in the municipalities. The picture also works well as a basis for conversations about the advantages and disadvantages of different models. The picture is attached."
4054,113Åbo AkademiBothnia Tutors,toimintamalli,"Modell för projektstrukturProjektets styrgrupp består av samtliga samarbetande kommuners bildningsdirektörer. Styrgruppen har full insyn i verksamheten och har möjlighet att påverka verksamhet och utfall. Koordinatorn rapporterar till styrgruppen. Projektets utvecklingsgrupp består av en representant per kommun. Medlemmen representerar målgruppen och har i vårt fall varit tutorlärare, IT-pedagog eller pedagogisk koordinator inom den egna kommunen. Utvecklingsgruppen ansvarar för kontakten till enskilda målgruppsmedlemmar inom den egna kommunen. Utvecklingsgruppen är även den primära plattformen för den konkreta verksamheten. Projektet leds av en eller två koordinatorer som ansvarar för verksamheten samt sammankallar bägge grupper. Fördelen med denna projektstruktur har varit att projektet naturligt förankras i varje kommun. Alternativet hade varit att verksamheten utförs helt av i målgruppens ögon externa personer vilket inte ger samma anknytning till den egna verksamheten","Model for project structure The project&#39;s steering group consists of all the cooperating municipalities&#39; education directors. The steering group has full insight into the business and has the opportunity to influence operations and outcomes. The coordinator reports to the steering group. The project&#39;s development group consists of one representative per municipality. The member represents the target group and in our case has been a tutor teacher, IT educator or pedagogical coordinator within the own municipality. The development group is responsible for the contact to individual target group members within their own municipality. The development group is also the primary platform for the concrete business. The project is led by one or two coordinators who are responsible for the activities and convene both groups. The advantage of this project structure has been that the project is naturally anchored in each municipality. The alternative would have been that the activity is carried out entirely by external people in the eyes of the target group, which does not give the same connection to the own activity."
4055,113Åbo AkademiBothnia Tutors,julkaisu,Webbsidan tutorlarare.fi Vid inledning av projektets verksamhet insåg samtliga koordinatorer snabbt att vi alla ämnat skapa webbsidor för delning av best practices. Detta diskuterades och det föreslogs att en gemensam webbsida skapas där samtliga projekt har redigeringsrätt. Denna sida skapades i Google Sites samt domänet tutorlarare.fi införskaffades. Målet är att samla best practices för tutorlärare i Svenskfinland på ett gemensamt ställe för att underlätta delning.Webbsidan har piloterats inom detta projekt och kommer nu att utvecklas och revideras inom nu pågående nya koordinatorsprojekt samt projektet Tutor 2.0. ,"The website tutorlarare.fi At the start of the project&#39;s activities, all coordinators quickly realized that we all intended to create websites for sharing best practices. This was discussed and it was suggested that a common website be created where all projects have editing rights. This page was created in Google Sites and the domain tutorlarare.fi was acquired. The goal is to gather best practices for tutor teachers in Swedish Finland in a common place to facilitate sharing. The website has been piloted within this project and will now be developed and revised within the current new coordinator project and the Tutor 2.0 project."
4056,113Åbo AkademiBothnia Tutors,julkaisu,Facebook-grupp för tutorlareDenna grupp skapades redan vid inledandet av tutorlärarverksamheten i svenskfinland i samband med starten av utbildning för tutorlärare arrangerad av CLL. Målet då var att kunna diskutera innehåll och uppgifter inom utbildningen samt nätverka. Under projekttiden för Bothnia Tutors har sidan fått en annan roll som digital samlingspunkt för tutorlärare i Svenskfinland. Gruppen modereras av John Henriksson (CLL) med flera. Inom gruppen förs tidvis aktiva diskussioner kring konkreta frågor och många tutorlärare har knutit nya kontakter nationellt som en följd av gruppens aktivitet. Därtill fungerade gruppen som marknadsförings- och informationskanal inför TutorDay 2019. ,"Facebook group for tutor teachersThis group was already created at the start of the tutor teacher activities in Swedish Finland in connection with the start of training for tutor teachers arranged by CLL. The goal then was to be able to discuss content and tasks within the education and network. During the project period for Bothnia Tutors, the site has been given a different role as a digital meeting point for tutor teachers in Swedish Finland. The group is moderated by John Henriksson (CLL) and others. Within the group, there are occasionally active discussions on concrete issues and many tutor teachers have made new contacts nationally as a result of the group&#39;s activity. In addition, the group functioned as a marketing and information channel for TutorDay 2019."
4057,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,toimintamalli,"Kuvaus toiminnoista, joita hankkeessa pääasiassa on ollut käytössä",A description of the activities that have been mainly used in the project
4058,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,tapahtuma,"Alueelliset koulutuspäivät - yhteensä viisi, joista viimeisin tulossa syyskuussa: 1. Korpela-Liimatainen Tiina/Kohtaaminen tutoropettajan työssä + työpajat; 2. Peltomaa I. & Luostarinen A./Hyvinvoivaa ja oppivaa yhteisöä luomassa + ops- ja digipohdintaa. 3. Hellström M./Tutoropettajan rooli ja vertaisohjaaminen; 4. Leskisenoja Eliisa/Positiivisen pedagogiikan työkalupakki + Tampereen vuorovaikutustutorit; 5. Norrena Juho/Itseohjautuvuus + Peura Pekka/Arviointi + Digiagentit.","Regional training days - a total of five, the latest of which is coming in September: 1. Korpela-Liimatainen Tiina / Encounter in the work of a tutor + workshops; 2. Peltomaa I. &amp; Luostarinen A./ A well-being and learning community creating + ops and digital reflection. 3. Hellström M./The role and tutoring of a tutor; 4. Leskisenoja Eliisa / Positive Pedagogy Toolkit + Tampere Interaction Tutors; 5. Norrena Juho / Self-control + Deer Pekka / Evaluation + Digital agents."
4059,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,tutkimus,Tammikuussa tehty suppea selvitys tutor-opettajan työstä. Vastausprosentti 65. (Toukokuussa teetetty hieman laajempi kysely tuotti erittäin niukan vastausprosentin.) ,A brief report on the work of a tutor teacher made in January. Response rate 65. (A slightly broader survey commissioned in May produced a very low response rate.)
4060,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,julkaisu," Hankkeen nettisivusto, joka sisältää tietoa hankkeesta, tutoropen niksinurkan sekä vinkkipankin a lá ops. ","The website of the project, which contains information about the project, the tutoropen niksinurka and the tip bank a lá ops."
4061,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,toimintamalli,"Malli siitä, millaisia tutoroinnin lajeja kunnissa voisi olla. Osa niistä jo toteutuneita. ",A model of what types of tutoring could be in municipalities. Some of them have already materialized.
4062,113Kauhajoen kaupunkiTutorix- Tutorit Etelä-Pohjanmaalla ,muu-tuotos,Oppivan yhteisön vinkkikampanja sekä vastauslomake.,Learning community tip campaign and response form.
4063,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,tapahtuma,Ville kouluttajakoulutus. Alueelle on koulutettu 4 Ville kouluttajaa. He ovat kouluttaneet eri kunnissa n. 300 opettajaa ville käyttäjiksi.,Ville trainer training. 4 Ville trainers have been trained in the area. They have trained about 300 teachers in different municipalities as ville users.
4064,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,tapahtuma,"Opettajien koulutukset: googlekoulutus, oppilasagenttikoulutus, Ville opintopolkukoulutukset, ohjelmointikoulutukset","Teacher training: google training, student agent training, Ville study path training, programming training"
4065,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,toimintamalli,"Digijutut tutuiksi haastekilpailu. Alueella järjestettiin haastekilpailu, jonka tulokset jaettiin hankkeen kotisivuilla. Tuloksia esitettiin googlekoulutustilaisuudessa ja arvottiin voittaja.","Digital Stories Familiar Challenge. A challenge competition was held in the area, the results of which were shared on the project website. The results were presented at a google training session and the winner was drawn."
4066,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,julkaisu,Hankkeen www-sivut,Project website
4067,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,toimintamalli,Oppilasagenttitoiminta ja koulutukset. Jokaisessa kunnassa on järjestetty oppilasagenttikoulutus oppilaille. Päivän suunnittelussa ja toteutuksessa on ollut mukana koordinaattori ja aluetutor sekä paikalliset tutoropettajat.,"Student agent activities and training. In each municipality, student agent training has been organized for students. The coordinator and regional tutor as well as local tutors have been involved in the planning and implementation of the day."
4068,113Kalajoen kaupunkiRannikon aluetutortoiminnan kehittäminen,toimintamalli,"Alueellinen tutoropettajaryhmä. Jokaisesta kunnasta on ollut edustaja aluetutorryhmässä, jossa on jaettu tietoa, suunniteltu koulutuksia ja oppilasagenttitoimintaa. Ryhmä on kokoontunut n. kuukauden välein.","Regional group of tutors. Each municipality has had a representative in the regional market group, where information has been shared, trainings and student agent activities have been planned. The group meets about every month."
4069,113Porin kaupunkiSatakunnan tutoryhteistyö,toimintamalli,Satakunnan tutoryhteistyö -hankkeen kuvaus,Description of the Satakunta tutoring cooperation project
4070,113Porin kaupunkiSatakunnan tutoryhteistyö,julkaisu,"Verkkosivusto pedanetissä, jossa tietoa Satakunnan tutoryhteistyöstä. Sivustoa päivitetään parhaillaan.",Website on the pedanet with information about Satakunta&#39;s tutoring cooperation. The site is currently being updated.
4071,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Alueellisen tutorhankkeen infotilaisuus,  29.1.2018 kuntien edustajille & tutoropettajille. ","Information session of the regional tutoring project, 29 January 2018 for municipal representatives &amp; tutoring teachers."
4072,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Pedanet koulutukset Raumalla ja Porissa - johto ja tutorit, 22.3.2018","Pedanet trainings in Rauma and Pori - management and tutors, March 22, 2018"
4073,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Alueellinen ipad-iltapäivä kaikille hankekunnille, Eurajoki 18.4.2018","Regional iPad afternoon for all project communities, Eurajoki 18.4.2018"
4074,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Tietosuojakoulutus (etänä) kaikille Satakunnan kunnille, myös rehtorit/sivistysjohtajat7.6.2018","Data protection training (remotely) for all Satakunta municipalities, including principals / education directors7.6.2018"
4075,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Satakunnan tutor opettajien koulutus- ja verkostoitumistilaisuus 6.11.2018, paikalla noin 110 osallistujaa ympäri Satakuntaa. Tilaisuuden aloitti aivotutkija Katri Saarikivi “Laadukkaan ajattelun taidot, empatia ja digitaalinen maailma”. Päivän päätti erityisopettaja Mari Thure-Sivola aiheella “Huomaa hyvä!”. Lisäksi päivän aikana oli valittavana erilaisia työpajoja/esityksiä. ","Satakunta tutor teacher training and networking event on November 6, 2018, about 110 participants from all over Satakunta. The event was started by brain researcher Katri Saarikivi “Skills for quality thinking, empathy and the digital world”. The day was closed by special teacher Mari Thure-Sivola with the topic “Please note!”. In addition, there were various workshops / presentations to choose from during the day."
4076,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Pedanet arviointikoulutus tutorit, 16.1.2019","Pedanet assessment training tutors, 16.1.2019"
4077,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Laite-esittely chromebook Atea, 29.1.2019, kaikille Satakunnan kunnille","Device demo Chromebook Atea, January 29, 2019, for all Satakunta municipalities"
4078,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Sähköisten oppimateriaalien esittelytapahtuma 27.2.2019. Paikalla oli noin 100 osallistujaa.Tapahtuman tavoitteena on lisätä tietoisuutta erilaisista sähköisistä oppimateriaaleista ja niiden käyttötavoista. Tarve korostuu entisestään nyt, kun henkilökohtainen laite on yleistymässä monessa Satakunnan kunnassa ja sähköisen oppimateriaalin käyttö lisääntyy.","Presentation event of electronic learning materials on February 27, 2019. There were about 100 participants. The aim of the event is to raise awareness of various e-learning materials and how to use them. The need is further emphasized now that personal devices are becoming more common in many Satakunta municipalities and the use of e-learning materials is increasing."
4079,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Noin 20 tutorkoulutusta yksittäisissä Satakunnan alueen kunnissa (mm. Nakkila, Karvia, Kankaanpää, Honkajoki, Rauma, Harjavalta). Lisäksi muita koulutuksia yhteistyössä eri hankkeiden kanssa.","About 20 tutor trainings in individual municipalities of the Satakunta region (eg Nakkila, Karvia, Kankaanpää, Honkajoki, Rauma, Harjavalta). In addition, other trainings in collaboration with various projects."
4080,113Porin kaupunkiSatakunnan tutoryhteistyö,tapahtuma,"Office365 työkalujen hyödyntäminen opetuksessa (yhteistyössä Osaava Satakunnan kanssa):• O365: OneDrive, OneNote ja Forms A, pe 9.11.2018• O365: OneDrive, OneNote ja Forms B, ti 11.12.2018• O365: Teams ja sen uudet ominaisuudet A, ke 12.12.2018• O365: Teams ja sen uudet ominaisuudet B, pe 14.12.2018","Utilization of Office365 tools in teaching (in cooperation with Competent Satakunta): • O365: OneDrive, OneNote and Forms A, Fri 9.11.2018 • O365: OneDrive, OneNote and Forms B, Tue 11.12.2018 • O365: Teams and its new features A, Wed 12/12/2018 • O365: Teams and its new features B, Fri 14/12/2018"
4081,113Porin kaupunkiSatakunnan tutoryhteistyö,toimintamalli,"Porissa laadittu tutoropettajan tehtävänkuva, joka on jaettu muille kunnille hyödynnettäväksi. ","A job description for a tutor teacher prepared in Pori, which has been distributed to other municipalities for use."
4082,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,julkaisu,"Hankkeella oli / on oma nettisivusto, jonka kautta esiteltiin hankkeen aikana tutkittuja ohjelmia ym. tietoteknisiä ratkaisuja oppituntien elävöittämiseksi sekä pedagogisesti toimivia oppimiseen soveltuvia ohjelmia ja malleja. Parhaimmillaan malli toimi niin, että jostakin alueen kunnasta tuli pyyntö selvittää esimerkiksi robottien hankintaan liittyviä seikkoja. Hanke mahdollisti tällaisen tutkinnan ja edelleen tulosten jaon kaikkien käyttöön. Samalla tavoin toimi esimerkiksi pyyntö, mikä olisi järkevin tapa nauhoittaa ruudulla tapahtuvaa toimintaa, tähän pystyi hankkeen puitteissa paneutumaan ja edelleen jakaa tietoa eteenpäin blogin avulla kaikkien opettajien käyttöön. Lisäksi hankkeen aikana tuotettiin valmista oppimismateriaalia taulukkolaskentaan (excel), digitaalisia pakohuoneita sekä pienimuotoisia oppimispelejä. Samalla tavoin sivuston kautta oli mahdollista jakaa niiden koulutusten antia, mihin hankekoordinaattori osallistui.","The project had / has its own website, through which the programs and other IT solutions studied during the project were presented to enliven the lessons, as well as pedagogically effective programs and models suitable for learning. At its best, the model worked in such a way that a municipality in the area received a request to find out, for example, issues related to the procurement of robots. The project made it possible to carry out such an investigation and further share the results. In the same way, for example, the request worked, which would be the most sensible way to record the activities on screen, which the project was able to address and further share information through a blog for use by all teachers. In addition, the project produced ready-made learning material for spreadsheets (excel), digital escape rooms and small-scale learning games. Similarly, through the site, it was possible to share the output of the trainings in which the project coordinator participated."
4083,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,tapahtuma,"Hankkeen puitteissa järjestettiin 6.10.2018 kaikille alueen opettajille kiky/veso -päivä, mini-itk -päivät. Osallistujia noin 150.  Aluetutor koordinoi tapahtumaa, hoiti ilmoittautumiset, vastasi päivän järjestelyistä ja toimi itsekin esittelijä tapahtumassa. Päivä toteutettiin ITK-päivien mukaisella mallilla. Alueen kuntien digitutorit sekä hankekoordinaattori toimivat työpajojen vetäjinä. Pajoissa esiteltiin sekä kokeiltiin monipuolisesti tvt:n käyttömahdollisuuksia. Pajoja oli aina ohjelmoinnista ja robotiikasta kuvankäsittelyyn - 13 eri työpajaa. Yksi pajoista sisälsi mahdollisuuden tutustua useampaan tvt-sovellukseen (ks. saatavuustiedot / liite). Jokainen opettaja osallistui kolmeen työpajaan, reilun puolen tunnin ajan kuhunkin. Osallistujat antoivat jälkikäteen hyvää palautetta koulutuspäivästä, joten nykyisen hankkeen puitteissa tulemme järjestämään samankaltaisen koulutuspäivän.","Within the framework of the project, a kiky / veso day, mini-crying days were organized for all teachers in the area on 6 October 2018. About 150 participants. The regional coordinator coordinated the event, took care of the registrations, was responsible for the day&#39;s arrangements and was the rapporteur for the event. The day was implemented according to the model of the ITK days. The digital tutors of the municipalities in the area and the project coordinator act as the facilitators of the workshops. In the workshops, the possibilities of using ICT were presented and tested in various ways. There were workshops ranging from programming and robotics to image processing - 13 different workshops. One of the workshops included the possibility to get acquainted with several ICT applications (see availability information / appendix). Each teacher participated in three workshops, more than six hours each. Participants gave good feedback on the training day afterwards, so as part of the current project, we will be organizing a similar training day."
4084,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,tapahtuma,"Opetushallitus mahdollisti yhteisen koulutuspäivän järjestämisen Rannikon alueen vastaavan hankkeen kanssa. Koulutuksen suunnittelusta ja järjestelyistä vastasivat hankekoordinaattori Anne Puumala (KASEtutor) ja Jarmo Ketonen (Rannikko). Hankkeen nettisivuilla ja sähköpostitse tiedotettiin koulutuksen aikataulusta, ohjelmasta yms. Koulutuspäivän aikana tutustuttiin Googlen uusiin ominaisuuksiin. Koulutuksessa alueeltamme olivat mukana hankekoordinaattori, alueen kuntien digitutorit ja muutama muu opettaja ja rehtori. Koulutuspäivän lisäksi yhteinen bussimatkakin alueen kunnista Kalajoelle mahdollisti mukana olleen porukan verkostoitumista ja kokemusten vaihtoa tvt-asioissa.Lisäksi niille opettajille, jotka eivät olleet kyseissä koulutuspäivässä mukana, hankekoordinaattori tuotti  pienen materiaalipaketin (ks. saatavuustiedot, jälkimmäinen linkki).","The Board of Education made it possible to organize a joint training day with a similar project in the Coastal Region. Project coordinator Anne Puumala (KASEtutor) and Jarmo Ketonen (Rannikko) were responsible for planning and arranging the training. The project&#39;s website and e-mail provided information on the training schedule, program, etc. During the training day, new features of Google were introduced. The training from our area involved a project coordinator, digital tutors from the municipalities in the area and a few other teachers and principals. In addition to the training day, a joint bus trip from the area&#39;s municipalities to Kalajoki enabled the participating team to network and exchange experiences in ICT matters."
4085,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,tapahtuma,"Yhteinen opintomatka valtakunnalliseen tutoropettajapäivään sekä ITK-päiville Hämeenlinnaan 19.3. - 21.3.2019. Matkalla mukana oli hankekoordinaattori ja digitutoreita neljästä hankkeen kuudesta kunnasta. On erittäin tärkeää päästä jakamaan keskenään kahden päivän aikana kokemiaan ja kuulemiaan tvt-ratkaisuja ja keskustelemaan niiden mahdollisuuksista. Muuten näin pienien kuntien digitutorit jäisivät yksin kokemustensa kanssa. Hankkeen puitteissa hankekoordinaattori pystyi myös jakamaan omia kokemuksiaan tietyiltä luennoilta alueen kaikkien opettajien saataville. Hankkeen nettisivuilla erityisesti seuraavista aiheista: Adobe Connect – Koukuttaako puhuva pää verkossa?, aoe.fi, Dragonbox, Lainaamo, Oppilasagentti-toiminta ( Pornainen), Tuettua verkko-opetusta erityistilanteessa, Tutortoiminta (ks. saatavuustiedot).Erityisen tärkeää oli tiedon välittäminen oppilasagenttitoiminnan aloittamiseksi, sillä sitä ollaan tulevana lukuvuonna aloittelemassa alueen jokaisessa kunnassa. ","Joint study trip to the national tutor teacher day and the ITK days in Hämeenlinna 19.3. - 21.3.2019 The trip was accompanied by a project coordinator and digital tutors from four of the project’s six municipalities. It is very important to be able to share with each other the ICT solutions they have experienced and consulted over the two days and to discuss their possibilities. Otherwise, the digital tutors of such small municipalities would be left alone with their experiences. Within the framework of the project, the project coordinator was also able to share his / her own experiences from certain lectures available to all teachers in the area. On the project website, in particular on the following topics: Adobe Connect - Is the speaking head hooked online? , as it is being started in the next school year in every municipality in the area."
4086,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,tutkimus,"Hankkeen alussa kartoitettiin jokaisessa hankkeessa mukana olleessa kunnassa opettajien tietotaitoa, asenteita ja koulutustoiveita tvt:n osalta. Hankekoordinaattori toimitti jokaiseen kuntaan tiedot kunkin kunnan omien kyselyjen tuloksista. Yleisellä tasolla voitiin todeta, että keskimäärin alakoulun opettajilla oli paremmin tvt-taidot hallussa ja asenteet tvt:n pedagogisiin käyttömahdollisuuksiin positiivisempia kuin yläkoulujen aineenopettajilla. Tätä selkeästi esiin tullutta epäkohtaa käsiteltiin ohjausryhmän palavereissa ja keskusteltiin kuntien digitutoreiden keskuudessa hankekoordinaattorin alustamana. Tästä saatiin myös suuntaviivoja tuleviin hankkeisiin ja niiden painopistealueisiin. Lisäksi kyselyssä paljastui taulukkolaskennan heikohko osaaminen, tämän sysäämänä syntyi hankkeen puitteissa excel-oppimispaketti.Liitteessä kerättynä osa syksyllä kunnissa opettajille tehdyn tvt-alkukartoituksen vastauksista (muutama painopistealue).","At the beginning of the project, teachers&#39; know-how, attitudes and educational aspirations regarding ICT were mapped in each municipality involved in the project. The project coordinator provided each municipality with information on the results of each municipality&#39;s own surveys. At the general level, it could be stated that, on average, primary school teachers had better ICT skills and attitudes towards the pedagogical use of ICT were more positive than those of upper secondary school subject teachers. This clearly evident grievance was addressed in the steering group meetings and discussed among municipal digital educators, initiated by the project coordinator. This also provided guidelines for future projects and their priorities. In addition, the survey revealed weak skills in spreadsheets, which led to the creation of an excel learning package within the framework of the project."
4087,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,muu-tuotos,"Oppimismateriaalia taulukkolaskentaan sekä digitaalisia pakohuoneita opettajien ja oppilaiden käyttöön. Taulukkolaskentamateriaali (excel) sisältää valmista materiaalia opettajien käyttöön oppitunneille. Lisäksi opettajat voivat itse päivittää omaa osaamistansa tämän sivuston avulla. Oppimateriaalia on kolmessa vaikeustasossa sisältäen video-ohjeita, kirjallista materiaalia sekä eritasoisia tehtäviä. Oppimateriaalia on ollut mahdollisuus käyttää vapaasti kaikkialla.Digitaaliset pakohuoneet sisältävät pieniä pähkinöitä, lähinnä loogisia päättelytehtäviä. Kohderyhmänä lähinnä alakoulun oppilaat. Halsuan kunnan digitutor toimi ryhmiensä kanssa testaajana ja tällä tavoin voitiin varmistua pakohuoneiden toimivuudesta.","Learning materials for spreadsheets as well as digital escape rooms for teachers and students. Spreadsheet material (excel) contains ready-made material for teachers to use in lessons. In addition, teachers can update their own skills themselves with the help of this site. There are three levels of learning material, including video instructions, written material and different levels of assignments. It has been possible to use the learning material freely everywhere. Digital escape rooms contain small nuts, mainly logical reasoning tasks. The target group is mainly primary school students. The Halsua municipality&#39;s digitutor worked with its groups as a tester, and in this way the functionality of the escape rooms could be ensured."
4088,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,toimintamalli,"Etäopetukseen liittyvän mallin luominen samanaikaisopetuksena. Yhden kunnan 9-luokkalainen oppilas sairastui vakavasti lukuvuoden alkaessa ja hoidot jatkuivat toukokuulle asti sellaisina, ettei oppilaalla ollut mahdollisuutta osallistua lähiopetukseen. Hankkeen avulla saatiin käyntiin etäopetus AC:n välityksellä, 1 - 3 oppituntia päivässä. Etäopetus toteutettiin samanaikaisopetuksena oppilaan ryhmän mukana. Aluetutor toimi kunkin opettajan ensimmäisten oppituntien aikana lähitukena tekniikan suhteen sekä antoi pedagogisia vinkkejä. Myöhemmin koordinaattori seurasi satunnaisesti oppitunteja ja oli tarvittaessa pedagogisena tukena. Tästä saatiin, opettajia ei niin paljoa kuormittava, toimiva malli, mikä on siirrettävissä jatkossa alueen muihin kuntiin. Aluetutorin yhteystiedot ovat Oulun yliopistollisen sairaalan opetukseen liittyvällä henkilökunnalla. Heillä on lupa antaa tiedot eteenpäin, jos jossakin muualla kiinnostutaan mallista ja halutaan kuulla kokemuksia.","Creating a model related to distance learning as simultaneous teaching. A 9th-grader in one municipality became seriously ill at the beginning of the school year, and treatments continued until May in such a way that the pupil did not have the opportunity to participate in contact education. The project launched distance learning via AC, 1 to 3 lessons per day. Distance learning was carried out as simultaneous teaching with a group of students. During the first lessons of each teacher, the regional tutor acted as close support for technology and provided pedagogical tips. Later, the coordinator followed the lessons occasionally and provided pedagogical support as needed. This resulted in a not-so-burdensome, workable model that can be transferred to other municipalities in the area in the future. The contact information of the regional market is available from the teaching staff of Oulu University Hospital. They are allowed to pass on the information if elsewhere they are interested in the model and want to hear the experiences."
4089,113Vetelin kuntaKASEtutor tvt-työhön - Kaikki mukaan Kaustisen seutukunnassa,toimintamalli,"Digitutoreiden verkostoitumisen malli. Pienissä kunnissa tutorit toimivat pääsääntöisesti yksin vailla vertaistukea. Nyt olemme saaneet kuuden kunnan alueelle alkuun mallin, jossa jaetaan tutoroinnin ideoita ja kokemuksia säännöllisten tapaamisten yhteydessä. ","Digital tutor networking model. In small municipalities, tutors generally work alone without peer support. We have now started a model for six municipalities to share tutoring ideas and experiences in the context of regular meetings."
